Name,Start Date,Tickets Available,Currency Type,Lowest Ticket Price,Highest Ticket Price,Ticket Limit,Seatmap,Promoter,Venue,Venue URL,Please Note
"Nodaphone, Split Se20nd, Outta Towners",2/12/2025,2024-12-03T08:00:00Z,USD,15,15,,,,Chop Suey,https://www.ticketweb.com/venue/chop-suey-seattle-wa/19270,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Tuxedo,2/12/2025,2024-12-13T18:00:00Z,USD,30,30,Please note: There is a ticket limit of 8 tickets per person and per credit card on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/09006184CC252958/staticImage?type=png&systemId=HOST,,The Bellwether,https://www.ticketmaster.com/the-bellwether-tickets-los-angeles/venue/74829,
Cursive,2/12/2025,2024-09-13T17:00:00Z,USD,30,30,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/090061259F8B1F6F/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Regent Theater,https://www.ticketmaster.com/the-regent-theater-tickets-los-angeles/venue/74649,The Regent Theater is located in DTLA at 448 S Main Street. The Regent is a cashless venue. For any ADA accommodations please email us at Access@RegentDTLA.com
Jordana - Lively Premonition Tour w/ Rachel Bobbitt,2/12/2025,2024-10-23T19:00:00Z,USD,21,21,,,,Madame Lou's,https://www.ticketweb.com/venue/madame-lous-seattle-wa/497135,"All sales are final. There are no refunds unless the event is cancelled or postponed Opening Acts are subject to change or cancelation at any time without notice. No refund will be owed if an Opening Act is changed or canceled. Doors times subject to change Tickets may not be resold or offered for resale. If we suspect tickets have been purchased for resale purposes only, we reserve the right to void or cancel the tickets without refund. Tickets obtained from unauthorized sources may be invalid, lost, stolen or counterfeit and if so, are void."
Jake Shimabukuro & Pure Heart,2/12/2025,2024-12-10T19:30:00Z,USD,45,55,,,,Blue Note Hawaii,https://www.ticketweb.com/venue/blue-note-hawaii-honolulu-hi/424495,"For parties of 10 or more please call us at 808-777-4898 to book! We do not offer any refunds, exchanges, or transfers on any ticket purchases. All sales are final. We do not have any liability or influence on tickets purchased through a ticket reselling or 3rd party site. Official ticket purchases are run through TicketWeb.com only."
"IT'S COMPLICATED... AN EVENING OF SONGS ABOUT LOVE (the good, the bad and the messy)",2/12/2025,2024-12-09T01:35:00Z,USD,41.05,57,,,,Catalina Bar & Grill,https://www.ticketweb.com/venue/catalina-bar--grill-hollywood-ca/19513,"Dinner or two-drink minimum required in addition to the tickets, plus a $0.49 music royalty fee per patron. Doors open for dinner 1 1/2 hour before the first show and 1/2 hour before the second show if there is a second show. Except for Private Events. Ticket sales are final. Catalina's Management"
Foster The People (DJ Set),2/12/2025,2025-02-05T19:00:00Z,USD,19.95,19.95,,,,The Basement at Club Vinyl,https://www.ticketweb.com/venue/the-basement-at-club-vinyl-denver-co/685573,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
Every Wednesday Late Night with Sundrop at The Nick,2/12/2025,2025-01-06T14:25:00Z,USD,5,5,,,,The Nick,https://www.ticketweb.com/venue/the-nick-birmingham-al/475725,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
3-Night Pass - An Evening With Goose,2/13/2025,2024-11-22T15:00:00Z,USD,121.5,121.5,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0800616BD7D43D29/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,GLC Live at 20 Monroe,https://www.ticketmaster.com/glc-live-at-20-monroe-tickets-grand-rapids/venue/66234,3-DAY PASS. All Ages / Doors 6pm / Show 7:30pm. Will Call opens two hours prior to door time. All support acts are subject to change without notice.
Jake Shimabukuro & Pure Heart,2/12/2025,2024-12-10T19:30:00Z,USD,35,45,,,,Blue Note Hawaii,https://www.ticketweb.com/venue/blue-note-hawaii-honolulu-hi/424495,"For parties of 10 or more please call us at 808-777-4898 to book! We do not offer any refunds, exchanges, or transfers on any ticket purchases. All sales are final. We do not have any liability or influence on tickets purchased through a ticket reselling or 3rd party site. Official ticket purchases are run through TicketWeb.com only."
The High Society New Orleans Jazz Band,2/13/2025,2024-11-13T17:10:00Z,USD,35.46,45.76,,,,Birdland Theater,https://www.ticketweb.com/venue/birdland-theater-new-york-ny/553788,
BORN OF OSIRIS: WINTER 2025,2/13/2025,2024-11-15T15:00:00Z,USD,25,25,There is a limit of eight tickets per household.,https://mapsapi.tmol.io/maps/geometry/3/event/0E006167AB5A4E64/staticImage?type=png&systemId=HOST,MISCELLANEOUS PROMOTER,The Masquerade - Hell,https://www.ticketmaster.com/the-masquerade-hell-tickets-atlanta/venue/115852,
TWO FRIENDS PRESENTS HEATWAVE: THE TOUR,2/13/2025,2024-09-20T14:00:00Z,USD,41.5,41.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/2D00612813366E1D/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Ritz,https://www.ticketmaster.com/the-ritz-tickets-raleigh/venue/368675,"In an effort to provide relief to the communities affected by the California wildfires, Two Friends has committed $2 of all future tickets purchased on the Heatwave Tour to be donated to the California Fire Foundation. DOOR TIME (venue opens): 6:00 pm SHOW TIME (music starts) : 7:00 pm This event is ALL AGES The Ritz Is A General Admission Standing Room Only Venue All support acts subject to change without notice Box Office Hours: We open 2 hours before door time on any event night through the event. We can sell tickets for any future event we have inventory for. Questions? Call us! (919) 424-1400, Press (1) for Box Office"
Happy Hour w/ Wib Schneider at Woodlands Tavern,2/13/2025,2025-02-04T19:00:00Z,USD,0,0,,,,Woodlands Tavern,https://www.ticketweb.com/venue/woodlands-tavern-columbus-oh/205995,
Pre/Post Party with DJ Cardigan Enthusiast,2/13/2025,2025-02-04T15:00:00Z,USD,0,0,,,,Beachland Tavern,https://www.ticketweb.com/venue/beachland-tavern-cleveland-oh/10609,This show is all ages. A $2 fee will be charged at the door for patrons under the age of 21 Beachland Ballroom reserves the right to cancel / refund any or all order at any time for any reason. No Refunds. All Sales are final.
An Underground Love: Hip-Hop Showcase,2/13/2025,2025-01-24T00:00:00Z,USD,10,10,,,,The Forge,https://www.ticketweb.com/venue/the-forge-joliet-il/436055,
An Evening With Goose,2/13/2025,2024-11-22T15:00:00Z,USD,45,79.5,There is a four (4) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0800616BD7CF3D1E/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,GLC Live at 20 Monroe,https://www.ticketmaster.com/glc-live-at-20-monroe-tickets-grand-rapids/venue/66234,All Ages / Doors 6pm / Show 7:30pm. Will Call opens two hours prior to door time. All support acts are subject to change without notice.
Blockhead: Mortality is Lit Tour,2/13/2025,2024-12-06T18:00:00Z,USD,25,25,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/15006179DFE04666/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The Atlantis,https://www.ticketmaster.com/the-atlantis-tickets-washington/venue/172698,"Tickets are non-transferable until 72 hours prior to the show time. Any tickets suspected of being purchased for the sole purpose of reselling can be cancelled at the discretion of The Atlantis / Ticketmaster, and buyers may be denied future ticket purchases for I.M.P. shows. Opening acts, door times, and set times are always subject to change."
"Tabano Hollow, Lorena Ometto, The Village Idiots, Thank You, Bye",2/13/2025,2025-01-14T15:00:00Z,USD,14,14,,,,Middle East - Upstairs,https://www.ticketweb.com/venue/middle-east--upstairs-cambridge-ma/18394,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund. FAQ: *WILL CALL CUSTOMERS* - Will Call pick up is located at the Door when doors open, night of show (*NOTE: Will Call never closes), you'll just need to show your I.D. **PLEASE NOTE: The time listed on the ticket is the time when doors open, not when the performance starts. For up to date set times, check www.twitter.com/MidEastClub or call our Box Office Hotline at 1-617-864-3278 and enter *100 at the prompt. TERMS AND CONDITIONS: NO VAPING OR SMOKING IN THE BUILDING I understand that my email address will be added to the venue and/or promoter's email update list and I know that I am welcome to unsubscribe at any time. I understand that VALID I.D. is required for entry for events that are 18+ or 21+ and that if I do not provide a VALID I.D. I will be denied admission. I understand that for All Ages events VALID I.D. is only required by anyone over 21 who wishes to purchase or consume alcohol, regardless of apparent age - NO EXCEPTIONS. I understand that if I am over 21 and do not provide valid I.D., I will not be served alcohol. I understand that anyone who consumes alcohol without having provided proper I.D. or is under 21 will be ejected from the venue without refund. I understand that, per order of the City of Cambridge, only the following forms of I.D. are considered valid: * a current US- or Canada-issued driver's license, * a current Massachusetts liquor I.D., * a current US Military I.D., or * a current Passport. I understand that student I.D.'s and foreign driver's licenses are NOT considered valid. I understand that if I try to use a student I.D. or foreign driver's license, I will be denied admission. I realize that this I.D. policy is required by law and not subject to staff discretion."
Redferrin,2/13/2025,2024-12-20T15:00:00Z,USD,20,70,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/22006191D7C628E1/staticImage?type=png&systemId=HOST,HOUSE OF BLUES CONCERTS (HOB),House of Blues Orlando,https://www.ticketmaster.com/house-of-blues-orlando-tickets-orlando/venue/279150,"Before you Arrive for a show: When parking at Disney Springs, please arrive at least 60 minutes before any scheduled event, show or reservation. Digital Message boards along Buena Vista Drive will indicate when garages and surface lots are full. Disney Springs currently closes at 11pm or 11:30pm depending on the day of the week. Access to Disney Springs property will not be available after that time. Please check the following link for the most current hours of operation: https://disneyworld.disney.go.com/destinations/disney-springs/ Acts subject to change without notice Support: Emily Zeck Upgrade your experience - https://sevenrooms.com/events/hoborlando/hobwebsite"
Kerry King,2/13/2025,2024-10-04T15:00:00Z,USD,39.5,59.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/3A00613AA989400A/staticImage?type=png&systemId=HOST,HOUSE OF BLUES CONCERTS (HOB),House of Blues Houston,https://www.ticketmaster.com/house-of-blues-houston-tickets-houston/venue/475902,This is an all ages event. Doors open at 6PM
Hudson Westbrook,2/13/2025,2024-12-19T16:00:00Z,USD,32.5,32.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/3A00616D0BE86551/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Emo's Austin,https://www.ticketmaster.com/emos-austin-tickets-austin/venue/476110,"All Ages Welcome Doors: 6:00pm Show: 7:00pm This event has moved to Emo's Austin, located at 2015 E Riverside Dr, Austin TX, 78741. All previously purchased tickets are valid for the new venue."
Greensky Bluegrass,2/13/2025,2024-11-01T14:00:00Z,USD,39.5,75,There is an four (4) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0000615C980D0FB6/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Brooklyn Paramount,https://www.ticketmaster.com/brooklyn-paramount-tickets-brooklyn/venue/1367,Doors: Show: All set times and opening acts are subject to change without notice. Balcony Includes: Exclusive Entrance via Dekalb Ave. Balcony Access Private Bar Private Bathrooms Private Coat Check
Cymande,2/13/2025,2024-10-18T15:00:00Z,USD,30,75,There is an eight (8) ticket limit for this event. Table and Hi-Top seats must be purchased at a minimum of two (2) tickets.,https://mapsapi.tmol.io/maps/geometry/3/event/0000614BE65852D3/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Irving Plaza Powered By Verizon 5G,https://www.ticketmaster.com/irving-plaza-powered-by-verizon-5g-tickets-new-york/venue/47,Preferred Balcony Ticket Includes Front of the Line Access and Balcony Access Age Restriction: 16+ Unless Accompanied by a Guardian All set times and opening acts are subject to change without notice
Skizzy Mars Presents: The Red Balloon Project 10 Year Anniversary,2/13/2025,2024-11-21T17:00:00Z,USD,25,45,There is an eight (8) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0000616EBBF13C49/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Gramercy Theatre,https://www.ticketmaster.com/gramercy-theatre-tickets-new-york/venue/107,DOORS - 7:00PM SHOW - 8:00PM Age Restriction: 16+ Unless Accompanied by a Guardian
"More Than This Tour with CeCe Winans - Grand Rapids, MI",2/13/2025,2024-09-06T14:00:00Z,USD,35,100,,,,Grand Rapids First,https://www.ticketweb.com/venue/grand-rapids-first-wyoming-mi/493015,"This ticket is a revocable license and may be taken up and admission refused upon refunding the purchase price appearing hereon and is grounds for seizure and cancellation without compensation. Holder of this ticket (“Holder”) voluntarily assumes all risks and danger incidental to the game or event for which this ticket is issued whether occurring prior to, during, or after same, including, but not limited to, contracting, and/or spreading the COVID-19 virus, and agrees that the organization, venue, presenter, agents, participants, or players are not responsible or liable for any injuries, sickness, or death resulting from such causes. Holder acknowledges that the COVID-19 pandemic remains a threat to individual and public health, COVID-19 is a highly contagious disease transmitted through human contact and respiratory droplets (including through the air and via common surfaces) and it is possible that Holder may contract COVID-19 while at the game or event for which this ticket is issued. By purchasing a ticket, Holder is agreeing to follow any COVID-19 safety guidelines required at the time of the event, including, but not limited to, masks, negative covid test, social distancing, and temperature checks. Holder agrees by use of this ticket not to transmit or aid in transmitting any description, account, picture, or reproduction of the game or event to which this ticket is issued. Breach of the foregoing will automatically terminate this license. Holder agrees that the license comprised by this ticket may be removed and Holder may be ejected from the game or event for which this ticket is issued in the event that Holder violates any law, ordinance, or venue regulation. Holder grants permission to the organization sponsoring the game or event for which this ticket is issued to utilize Holder’s image or likeness in connection with any video or other transmission or reproduction of the event to which this ticket relates. We may make changes to the Terms at any time."
TBA/Gerry Hundt Blues Band,2/13/2025,2024-01-05T23:55:00Z,USD,15,15,,,,Kingston Mines - Chicago Blues Center,https://www.ticketweb.com/venue/kingston-mines--chicago-blues-center-chicago-il/18842,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. 21 years and over"
Catherine Russell,2/13/2025,2024-11-12T18:00:00Z,USD,45.76,56.06,,,,Birdland Jazz Club,https://www.ticketweb.com/venue/birdland-jazz-club-new-york-ny/426135,
Rickshaw Billie's Burger Patrol,2/13/2025,2024-11-13T15:00:00Z,USD,15,15,,,,Small's,https://www.ticketweb.com/venue/smalls-hamtramck-mi/18756,
Sister Wife Sex Strike and Doom Scroll with Dusty The Kid and Amateur Taxidermy,2/13/2025,2024-11-12T17:00:00Z,USD,15,15,,,,Crowbar,https://www.ticketweb.com/venue/crowbar-tampa-fl/22449,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
Grateful for Biggie - a fusion of Grateful Dead & Notorious B.I.G. at Woodlands Tavern,2/13/2025,2024-12-23T15:00:00Z,USD,15,15,,,,Woodlands Tavern,https://www.ticketweb.com/venue/woodlands-tavern-columbus-oh/205995,
"152 Productions Presents: Glasswaves, Cohen_Noise, Coma Waves, Until I Die, and Reverya",2/13/2025,2025-01-07T16:00:00Z,USD,12,12,,,,Conduit,https://www.ticketweb.com/venue/conduit-winter-park-fl/26038,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
The Gay Men's Chorus of Tampa Bay Presents: Pre-Valentine's Day Drag Bingo,2/13/2025,2025-01-10T21:40:00Z,USD,0,0,,,,New World Music Hall,https://www.ticketweb.com/venue/new-world-music-hall-tampa-fl/581568,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
Truck Stop Honky Tonk,2/13/2025,2024-12-15T15:15:00Z,USD,10,10,,,,The Southgate House Revival - The Lounge,https://www.ticketweb.com/venue/the-southgate-house-revival--the-lounge-newport-ky/450755,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"In The Round with Barry Hutchens, Will Hutchens, Laura Leigh Jones & Bill Whyte",2/13/2025,2025-02-06T14:00:00Z,USD,17.3,17.3,,,,The Bluebird Cafe,https://www.ticketweb.com/venue/the-bluebird-cafe-nashville-tn/503035,"***Please note, when you make a reservation at The Bluebird Cafe, you are agreeing to the following terms & conditions: • All ticket reservations are non-refundable. • Ticket reservations at The Bluebird Cafe are an agreement to pay the non-refundable cover charge and applicable taxes/fees and to meet the $12.00 per seat food and/or drink minimum. • If you are a “no show”, we reserve the right to charge your credit card for the $12.00 minimum for each seat in your reservation. • Ticket reservations are for your personal use. They are NOT transferrable and NOT for resale! We perform random I.D. checks and the name on the reservation must match the name on the I.D. • Please call (615-383-1461) or email (info@bluebirdcafe.com) to cancel your reservation AT LEAST 24 hours in advance. PLEASE NOTE if your reservations are for a Saturday or Sunday evening show, you need to cancel by 9:00 a.m. the Friday before or risk being charged. • Attendees are expected to show up by the start of the show for which they have tickets. Seats that are unclaimed once the show has started will be seated from the walk-up line. • Performers are subject to change. • Bar seats are only for customers 21 years of age or older. • Any guest under the age of 18 must be seated with a parent or guardian. • We require accessible seat requests to be made two weeks in advance of the show date for guaranteed accessible seats. If you made a reservation outside of that window using our online system, please call The Bluebird Cafe during office hours and we will do our best to accommodate your needs. Please know that if you reserved outside of the two week window, accessible seats are not guaranteed. • The Bluebird Cafe is a listening room. If you do not honor our SHHHH! policy (being quiet while the performers are on stage) you may be asked to leave. • No outside food and/or drink is allowed inside the venue. • Still photography is allowed, unless the artist requests otherwise. • RECORDING COPYRIGHTED MATERIAL (VIDEO OR AUDIO) IS PROHIBITED. • Parking is limited. We suggest for ticket holders to use rideshare apps such as Uber or Lyft for your visit, if possible. For those wanting to park, we have a small lot directly in front of the cafe and a larger gravel lot behind the cafe. To access our gravel lot, please use the alley entrance on Hillsboro Pike next to AT&T. Please do not utilize our neighbors’ parking lots, as they enforce towing and do NOT park at AT&T. All guests must enter and check in through our main entrance on Hillsboro Pike. • For the safety and comfort of all our guests, Bluebird Cafe management has the right to refuse service to anyone who is aggressive, hostile or appears to be intoxicated."
Bryce Vine: Motel California Tour,2/13/2025,2024-11-22T16:00:00Z,USD,30,30,There is an eight (8) ticket limit on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0400616B152058F5/staticImage?type=png&systemId=HOST,HOUSE OF BLUES CONCERTS (HOB),House of Blues Chicago,https://www.ticketmaster.com/house-of-blues-chicago-tickets-chicago/venue/32905,"Performance begins at 7PM. This show is for ALL AGES. The Music Hall is General Admission Standing Room Only. We are built for dancing and rocking out! That means there is no seat to go along with your ticket despite those pesky little numbers that may be printed on it. For those of you looking to upgrade your experience, we do have some VIP Seating options including stools, tables, and opera boxes. For more information regarding these VIP areas, please contact the venue directly. All bags will be searched, and no large bags or backpacks will be allowed. House of Blues Chicago is Smoke Free. There is no re-entry. Upgrade Your Experience: https://sevenrooms.com/events/hobchicago/hobwebsite"
Phantogram - Running Through Colors Tour,2/13/2025,2025-01-28T20:00:00Z,USD,41,61,There is an 8 ticket limit,https://mapsapi.tmol.io/maps/geometry/3/event/0800623CB2CC2461/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Fillmore Detroit,https://www.ticketmaster.com/the-fillmore-detroit-tickets-detroit/venue/65587,All ages welcome! Doors open at 7:00pm. Show starts at 8:00pm. All support acts are subject to change without notice.
Phantogram - Running Through Colors Tour- EVENT MOVED TO FILLMORE DET!,2/13/2025,2024-10-25T14:00:00Z,USD,41,41,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0800614EF2263FF5/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Fillmore Detroit,https://www.ticketmaster.com/the-fillmore-detroit-tickets-detroit/venue/65587,EVENT MOVED FROM SAINT ANDREW'S HALL TO FILLMORE DETROIT (2115 WOODWARD AVE.) SAME SHOW DATE & TIME. SAINT ANDREW'S HALL TICKETS HONORED AT THE FILLMORE DETROIT.
Kelsea Ballerini - Live On Tour,2/13/2025,2024-11-01T14:00:00Z,USD,50.5,200.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/010061511A7F8AC5/staticImage?type=png&systemId=HOST,AEG LIVE,TD Garden,https://www.ticketmaster.com/td-garden-tickets-boston/venue/8337,"Guests attending TD Garden events are advised that only small bags, clutches, crossbodies, and wristlets measuring 6""x4""x1.5"" or smaller are permitted into the arena. Laptops, tablets, backpacks, luggage, briefcases, outside food/beverages, professional cameras, and like articles will be strictly prohibited from the facility. All guests may be subject to search of their person and/or possessions. Please review the TD Garden Policies before coming to the arena: https://www.tdgarden.com/policies"
lunar vacation - As Part of the Fenway Recordings Sessions,2/13/2025,2024-09-13T14:00:00Z,USD,20,20,There is an eight (8) ticket limit per customer.,https://mapsapi.tmol.io/maps/geometry/3/event/01006127D48D5203/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Brighton Music Hall presented by Citizens,https://www.ticketmaster.com/brighton-music-hall-presented-by-citizens-tickets-boston/venue/9089,
Oh He Dead,2/13/2025,2024-12-19T15:00:00Z,USD,20,45,,https://mapsapi.tmol.io/maps/geometry/3/event/01006190C0004336/staticImage?type=png&systemId=HOST,,Tally Ho Theater,https://www.ticketmaster.com/tally-ho-theater-tickets-leesburg/venue/9383,
Ashley Cooke: Your Place Tour,2/13/2025,2024-06-28T15:00:00Z,USD,18,18,,https://mapsapi.tmol.io/maps/geometry/3/event/050060D5BA9B7886/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Bluestone,https://www.ticketmaster.com/the-bluestone-tickets-columbus/venue/41852,
Joe Russo's Almost Dead,2/13/2025,2024-10-11T14:00:00Z,USD,46.5,96.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0E006143A35E6A35/staticImage?type=png&systemId=HOST,AEG LIVE,Savannah Civic Center - Johnny Mercer Theatre,https://www.ticketmaster.com/savannah-civic-center-johnny-mercer-theatre-tickets-savannah/venue/115870,"Bag Policy: Large purses, backpacks and bags are not allowed into the Savannah Civic Center. Clutches must be 4.5 inches x 6.5 inches x 2 inches or smaller. Bags above this size MUST BE CLEAR and no larger than 14 inches x 14 inches x 6 inches, 2 pocket maximum."
Infamous Love Songs: An Over the Rhine Valentine's Concert,2/13/2025,2024-09-27T14:00:00Z,USD,39.5,39.5,There is an eight (8) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/15006134AD2736DA/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Birchmere,https://www.ticketmaster.com/birchmere-tickets-alexandria/venue/172043,Will Call may be picked up at the Box Office as early as 5pm the night of the show.
Je'Caryous Johnson's Games Women Play,2/13/2025,2024-12-20T15:00:00Z,USD,44.95,124.95,Please note: There is a ticket limit of 8 tickets per person and per credit card on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/15006187F3BF5DB4/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The National Theatre,https://www.ticketmaster.com/the-national-theatre-tickets-washington/venue/172566,
Frankie Valli & The Four Seasons:  The Last Encores,2/13/2025,2024-08-09T14:00:00Z,USD,57.5,137.5,,https://mapsapi.tmol.io/maps/geometry/3/event/2D0060F894934AD7/staticImage?type=png&systemId=HOST,,Township Auditorium,https://www.ticketmaster.com/township-auditorium-tickets-columbia/venue/369296,"A clear bag policy is in effect for all events at The Township Auditorium. For more information on this policy, including size guidelines, please visit our website at www.thetownship.org. An inherent risk of exposure to COVID-19 (corona virus) exists in any public place where people are present. COVID-19 is a contagious disease that can lead to severe illness and death. By purchasing or otherwise accepting a ticket to this Event, you are acknowledging that an inherent risk of exposure to COVID-19 exists in any public place where people are present. By attending the Event, you and any guests voluntarily assume all risks related to exposure to COVID-19 and agree not to hold event organizers, venue operators, managers and venue owners and their agents and their contractors, liable for any COVID-19 illness or injury in connection with you or your guests attendance at the Event."
Dexter and The Moonrocks,2/13/2025,2024-12-05T15:01:00Z,USD,25,25,Please note: There is a ticket limit of 8 tickets per person and per credit card on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/2D00617A0A9F6897/staticImage?type=png&systemId=HOST,AEG LIVE,The Senate,https://www.ticketmaster.com/the-senate-tickets-columbia/venue/369820,"Bag Policy: -Clear bag that does not exceed 12""x6""x12"" -One gallon clear plastic bag -Small clutch bags with a max size of 4.5""x6.5"" -Fanny packs must be clear You must have a valid physical ID to consume alcohol at The Senate. The Senate is now a cashless venue"
Mike Dawes,2/13/2025,2024-10-04T14:00:00Z,USD,20,40,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1D00613893B110E9/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The Vogel at Count Basie Center for the Arts,https://www.ticketmaster.com/the-vogel-at-count-basie-center-tickets-red-bank/venue/237777,
Candi & Kalie,2/13/2025,2024-12-18T15:00:00Z,USD,15,15,,https://mapsapi.tmol.io/maps/geometry/3/event/1D0061839EC50E97/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Palace Theatre Stamford,https://www.ticketmaster.com/palace-theatre-stamford-tickets-stamford/venue/237595,
Joy Oladokun: A Benefit for East Tennessee Foundation Disaster Relief,2/13/2025,2024-10-04T14:00:00Z,USD,28,46,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1B00613AF50A7F0F/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Bijou Theatre,https://www.ticketmaster.com/bijou-theatre-tickets-knoxville/venue/222322,"Please note that balcony-level seating is accessible only by stairs; there is no elevator access to the balcony level. We reserve the right to revoke tickets sold through brokers or unauthorized third parties. If your ticket is revoked, you will not be admitted and will not receive a refund. Event date, time, and supporting acts are subject to change. All sales are final. No refunds or exchanges. E-tickets ready 24 hours prior to the event. There is a delivery delay until approximately November 1, 2024."
LUCÍA,2/13/2025,2024-09-13T14:00:00Z,USD,30.5,30.5,There is a limit of 8 tickets per person for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/00006124B4333D61/staticImage?type=png&systemId=HOST,,Tilles Center - Herbert and Dolores Goldsmith Atrium,https://www.ticketmaster.com/tilles-center-herbert-and-dolores-goldsmith-tickets-brookville/venue/1324,Please be advised that this show has a limited capacity. All prices are subject to change.
Eric Everett Jazz: Elation!,2/13/2025,2024-12-24T16:00:00Z,USD,5,5,,,,Treelawn Social Club,https://www.ticketweb.com/venue/treelawn-social-club-cleveland-oh/524805,
"Stimulate Presents Annual Valentine's Blood Massacre: Psyclon Nine Devil's Work Tour MMXXV, with Ventana, Heathen Sun, DJ Xris Smack",2/13/2025,2025-01-03T00:35:00Z,USD,19.16,19.16,,,,The Bowery Electric,https://www.ticketweb.com/venue/the-bowery-electric-new-york-ny/97554,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Get Ready - The Ultimate Motown Experience,2/13/2025,2024-09-06T14:00:00Z,USD,24,26,,https://mapsapi.tmol.io/maps/geometry/3/event/0500610FD9803D5D/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Tilson Auditorium,https://www.ticketmaster.com/tilson-auditorium-tickets-terre-haute/venue/41129,
The Warren Haynes Band Millions Voices Whisper Tour 2025,2/13/2025,2024-11-22T15:00:00Z,USD,38.5,96,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0500616FA100372A/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,MGM Northfield Park - Center Stage,https://www.ticketmaster.com/mgm-northfield-park-center-stage-tickets-northfield/venue/42085,"Please be advised: Ticket prices may fluctuate, based on demand, at any time. Resale ticket prices may exceed face value. Must be 21 & over to attend this event. Guests who appear to be under the age of 21 will be required to show proof of age at the casino entrance. Valid/current forms of ID include: state IDs, state driver?s license, passport or passport card, and military ID. Copies of IDs will not be accepted."
